ID;Name;Sex;PeoplesCount
19903;Аалия;ЖЕН.;13
19905;Аба;ЖЕН.;1000
19907;Абам;ЖЕН.;32
19908;Абаханум;ЖЕН.;4
19909;Абаш;ЖЕН.;125
19910;Аббаза;ЖЕН.;3
19913;Абдулния;ЖЕН.;1
19914;Абдулпетта;ЖЕН.;2
19915;Абдулька;ЖЕН.;5
19917;Абдурасуль;ЖЕН.;1
19918;Абдурефи;ЖЕН.;24
19919;Абдурома;ЖЕН.;3
19920;Абдюль;ЖЕН.;11
19921;Абелина;ЖЕН.;30
19922;Абель;ЖЕН.;892
19923;Абибат;ЖЕН.;2
19925;Абигель;ЖЕН.;48
19926;Абика;ЖЕН.;62
19927;Абилфетта;ЖЕН.;3
19928;Аблялиль;ЖЕН.;2
19929;Абрагина;ЖЕН.;36
19930;Абрамия;ЖЕН.;39
19931;Абраша;ЖЕН.;71
19933;Абуватфа;ЖЕН.;7
19935;Абульфаза;ЖЕН.;1
19937;Абута;ЖЕН.;2
19938;Абутаима;ЖЕН.;2
19939;Авагея;ЖЕН.;4
19940;Аванда;ЖЕН.;18
19941;Аванна;ЖЕН.;10
19942;Авашарфа;ЖЕН.;3
19944;Аващарфа;ЖЕН.;1
19946;Авгела;ЖЕН.;1
19948;Авгиння;ЖЕН.;3
19949;Авгусита;ЖЕН.;1
19950;Августа;ЖЕН.;13000
19951;Августина;ЖЕН.;5000
19952;Августиния;ЖЕН.;9
19953;Авдия;ЖЕН.;14
19954;Авдокия;ЖЕН.;4
19955;Авдоля;ЖЕН.;2
19956;Авдотия;ЖЕН.;21
19957;Авдотья;ЖЕН.;2000
19958;Авдоха;ЖЕН.;7
19960;Авелия;ЖЕН.;62
19961;Авеля;ЖЕН.;11
19962;Авенгилина;ЖЕН.;3
19964;Авения;ЖЕН.;5
19965;Авентина;ЖЕН.;7
19966;Авера;ЖЕН.;37
19967;Авереса;ЖЕН.;1
19968;Аверида;ЖЕН.;6
19969;Аверия;ЖЕН.;24
19971;Аветлана;ЖЕН.;3
19973;Авза;ЖЕН.;308
19974;Авзаль;ЖЕН.;18
19975;Авиа;ЖЕН.;11000
19976;Авиада;ЖЕН.;2
19977;Авиана;ЖЕН.;14
19980;Авигея;ЖЕН.;146
19981;Авиета;ЖЕН.;6
19983;Авила;ЖЕН.;3000
19984;Авилина;ЖЕН.;73
19985;Авина;ЖЕН.;225
19986;Авиона;ЖЕН.;2
19987;Авиреза;ЖЕН.;5
19988;Авиталь;ЖЕН.;176
19989;Авиша;ЖЕН.;7
19990;Авиэта;ЖЕН.;3
19991;Авия;ЖЕН.;114
19992;Авксения;ЖЕН.;1
19993;Авксентия;ЖЕН.;4
19994;Авлат;ЖЕН.;4
19995;Авлевтина;ЖЕН.;3
